Saussay-la-Campagne (27617)
Sébécourt (27618)
Selles (27620)
Serez (27621)
Serquigny (27622)
Surtauville (27623)
Surville (27624)
Suzay (27625)
Sylvains-Lès-Moulins (27693)
Terres de Bord (27412)
Thénouville (27089)
Thiberville (27629)
Thibouville (27630)
Thierville (27631)
Tilleul-Dame-Agnès (27640)
Tillières-sur-Avre (27643)
Tilly (27644)
Tocqueville (27645)
Touffreville (27649)
Tournedos-Bois-Hubert (27650)
Tourneville (27652)
Tourville-la-Campagne (27654)
Tourville-sur-Pont-Audemer (27655)
Toutainville (27656)
Treis-Sants-en-Ouche (27516)
Triqueville (27662)
Trouville-la-Haule (27665)
Val d'Orger (27294)
Val-de-Reuil (27701)
Valailles (27667)
Valletot (27669)
Vandrimare (27670)
Vannecrocq (27671)
Vascœuil (27672)
Vatteville (27673)
Vaux-sur-Eure (27674)
Venon (27677)
Verneuil d'Avre et d'Iton (27679)
Verneusses (27680)
Vernon (27681)
Vesly (27682)
Vexin-sur-Epte (27213)
Vézillon (27683)
Vieux-Port (27686)
Villegats (27689)
Villers-en-Vexin (27690)
Villers-sur-le-Roule (27691)
Villettes (27692)
Villez-sous-Bailleul (27694)
Villez-sur-le-Neubourg (27695)
Villiers-en-Désœuvre (27696)
Vironvay (27697)
Vitot (27698)
Voiscreville (27699)
Vraiville (27700)
